,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp
0,2006-12-01,2006.0,12.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.91462787454903,0.22055389457090965,3.0,0.0,0.0,9.0,17.0,0.0,-0.0,-0.0,0.0,6.0,5.0,4.0
1,2006-12-02,2006.0,12.0,48.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.91462787454903,0.22055389457090965,4.0,-0.0,-0.0,8.0,18.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,4.0
2,2006-12-03,2006.0,12.0,48.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.91462787454903,0.22055389457090965,6.0,-0.0,0.0,7.0,18.0,-0.0,-0.0,0.0,-0.0,3.0,4.0,3.0
3,2006-12-04,2006.0,12.0,49.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5.0,0.0,-0.0,5.0,16.0,-0.0,-0.0,0.0,0.0,3.0,2.0,3.0
4,2006-12-05,2006.0,12.0,49.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5.0,-0.0,0.0,7.0,17.0,0.0,-0.0,-0.0,-0.0,1.0,4.0,2.0
5,2006-12-06,2006.0,12.0,49.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,4.0,0.0,-0.0,8.0,15.0,-0.0,-0.0,0.0,0.0,3.0,2.0,3.0
6,2006-12-07,2006.0,12.0,49.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5.0,0.0,0.0,17.0,18.0,-0.0,-0.0,0.0,0.0,6.0,1.0,2.0
7,2006-12-08,2006.0,12.0,49.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,6.0,-0.0,-0.0,20.0,16.0,-0.0,0.0,0.0,0.0,8.0,1.0,2.0
8,2006-12-09,2006.0,12.0,49.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5.0,-0.0,0.0,9.0,18.0,-0.0,0.0,-0.0,0.0,8.0,1.0,4.0
9,2006-12-10,2006.0,12.0,49.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5.0,-0.0,0.0,8.0,18.0,0.0,0.0,-0.0,-0.0,8.0,8.0,4.0
10,2006-12-11,2006.0,12.0,50.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,6.0,0.0,0.0,14.0,20.0,-0.0,-0.0,-0.0,0.0,6.0,1.0,2.0
11,2006-12-12,2006.0,12.0,50.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,13.0,0.0,-0.0,17.0,19.0,-0.0,-0.0,0.0,-0.0,6.0,1.0,3.0
12,2006-12-13,2006.0,12.0,50.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,7.0,0.0,-0.0,8.0,18.0,-0.0,-0.0,0.0,0.0,3.0,1.0,3.0
13,2006-12-14,2006.0,12.0,50.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,8.0,0.0,-0.0,10.0,19.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0
14,2006-12-15,2006.0,12.0,50.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,11.0,0.0,0.0,14.0,19.0,-0.0,0.0,0.0,0.0,3.0,9.0,1.0
15,2006-12-16,2006.0,12.0,50.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,10.0,-0.0,0.0,16.0,17.0,0.0,-0.0,0.0,0.0,3.0,7.0,2.0
16,2006-12-17,2006.0,12.0,50.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,10.0,0.0,-0.0,7.0,19.0,-0.0,0.0,0.0,0.0,3.0,7.0,1.0
17,2006-12-18,2006.0,12.0,51.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9859991624270544,0.3825053777610077,10.0,0.0,0.0,9.0,19.0,-0.0,0.0,-0.0,0.0,3.0,1.0,1.0
18,2006-12-19,2006.0,12.0,51.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9859991624270544,0.3825053777610077,10.0,0.0,0.0,7.0,14.0,-0.0,-0.0,-0.0,0.0,3.0,1.0,1.0
19,2006-12-20,2006.0,12.0,51.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9859991624270544,0.3825053777610077,4.0,-0.0,-0.0,14.0,16.0,-0.0,-0.0,-0.0,0.0,3.0,1.0,2.0
20,2006-12-21,2006.0,12.0,51.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9859991624270544,0.3825053777610077,8.0,0.0,-0.0,7.0,16.0,0.0,-0.0,-0.0,-0.0,3.0,1.0,4.0
21,2006-12-22,2006.0,12.0,51.0,22.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9859991624270544,0.3825053777610077,7.0,-0.0,-0.0,14.0,15.0,-0.0,-0.0,-0.0,0.0,3.0,1.0,2.0
